Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,108.089996,108.300003,107.379997,107.559998,89.036514,6697600
2014-12-05,107.529999,108.739998,107.220001,108.510002,89.822906,6449700
2014-12-08,108.419998,108.879997,108.139999,108.519997,89.831169,6499300
2014-12-09,108.220001,108.470001,106.889999,108.050003,89.442131,7214300
2014-12-10,107.610001,107.959999,106.150002,106.239998,87.943832,9416400
2014-12-11,105.849998,107.309998,105.360001,106.720001,88.341164,7114600
2014-12-12,106.650002,106.870003,104.389999,104.430000,86.445526,8325500
2014-12-15,104.769997,105.059998,103.629997,103.959999,86.056473,12110600
2014-12-16,103.480003,105.209999,102.500000,102.760002,85.063141,10209200
2014-12-17,103.269997,104.489998,102.699997,104.070000,86.147552,10207600
2014-12-18,105.620003,106.820000,104.739998,106.809998,88.415649,11756800
2014-12-19,106.629997,107.389999,105.500000,105.550003,87.372688,19154400
2014-12-22,105.690002,106.830002,105.669998,106.739998,88.357727,8124500
2014-12-23,106.660004,106.910004,103.919998,104.279999,86.321388,10171700
2014-12-24,104.379997,105.330002,104.379997,104.589996,86.577988,3415100
2014-12-26,105.070000,105.690002,104.690002,105.059998,86.967056,2951000
2014-12-29,104.639999,105.690002,104.610001,105.330002,87.190529,4273400
2014-12-30,105.419998,105.800003,105.059998,105.360001,87.215401,4371700
2014-12-31,105.610001,106.110001,104.540001,104.570000,86.561424,6202100
2015-01-02,105.050003,105.550003,104.129997,104.519997,86.520058,5753600
2015-01-05,104.480003,104.730003,103.680000,103.790001,85.915779,8079300
2015-01-06,104.339996,104.989998,102.940002,103.279999,85.493591,7428000
2015-01-07,103.910004,105.830002,103.809998,105.559998,87.380959,7931700
2015-01-08,106.059998,106.489998,105.750000,106.389999,88.068008,9916000
2015-01-09,106.500000,106.500000,104.750000,104.940002,86.867722,7364800
2015-01-12,105.169998,105.820000,104.300003,104.580002,86.569710,6839000
2015-01-13,105.440002,106.330002,104.239998,104.760002,86.718712,10151100
2015-01-14,103.860001,104.430000,103.510002,104.000000,86.089600,8887700
2015-01-15,102.970001,103.930000,101.949997,102.489998,84.839630,10834800
