Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,100.839996,100.930000,99.419998,99.669998,89.387215,4065200
2014-12-05,99.809998,100.709999,99.680000,100.330002,89.979118,3104900
2014-12-08,100.320000,100.900002,99.639999,99.919998,89.611427,3085800
2014-12-09,99.040001,101.089996,98.750000,101.019997,90.597931,3792200
2014-12-10,100.769997,101.019997,99.010002,99.089996,88.867027,3908700
2014-12-11,99.389999,100.669998,99.239998,99.730003,89.441032,2940600
2014-12-12,99.580002,100.410004,98.690002,98.760002,88.571083,3086500
2014-12-15,98.800003,99.750000,97.410004,98.269997,88.131645,3649300
2014-12-16,97.650002,98.779999,95.750000,95.849998,85.961288,4843800
2014-12-17,96.550003,99.750000,96.169998,99.139999,88.911896,6235000
2014-12-18,100.279999,102.260002,99.910004,102.239998,91.692085,4681000
2014-12-19,102.000000,104.000000,102.000000,102.489998,91.916283,7986500
2014-12-22,102.580002,103.239998,102.470001,103.040001,92.409523,2398100
2014-12-23,103.720001,103.930000,102.440002,102.849998,92.239159,3028600
2014-12-24,103.000000,103.320000,102.540001,102.680000,92.086678,950700
2014-12-26,102.589996,103.000000,102.160004,102.550003,91.970070,2019900
2014-12-29,102.379997,103.010002,101.830002,102.330002,91.772774,1708100
2014-12-30,102.250000,103.059998,102.250000,102.849998,92.239159,1767600
2014-12-31,103.120003,103.680000,101.029999,101.089996,90.660721,2313900
2015-01-02,101.500000,102.620003,100.010002,100.779999,90.382706,3060900
2015-01-05,100.300003,100.449997,98.750000,99.120003,88.893959,4679000
2015-01-06,99.830002,100.139999,98.459999,98.919998,88.714577,3468300
2015-01-07,98.959999,100.300003,98.919998,99.930000,89.620384,3225800
2015-01-08,101.570000,104.980003,100.720001,104.699997,93.898277,5346100
2015-01-09,104.419998,104.629997,102.900002,103.720001,93.019386,3397600
2015-01-12,103.830002,104.000000,101.910004,102.550003,91.970070,3051500
2015-01-13,103.940002,105.599998,101.839996,103.070000,92.436417,3856500
2015-01-14,101.610001,103.480003,101.180000,103.330002,92.669609,4725600
2015-01-15,103.559998,104.589996,103.129997,104.459999,93.683037,5888900
2015-01-16,104.500000,106.000000,103.650002,105.769997,94.857880,6045500
2015-01-20,106.199997,106.379997,104.500000,105.620003,94.723373,6526800
2015-01-21,106.519997,109.449997,105.620003,109.320000,98.041618,8293700
2015-01-22,109.750000,114.120003,109.330002,113.849998,102.104286,8055200
2015-01-23,113.639999,114.320000,112.000000,112.000000,100.445137,5256000
2015-01-26,112.000000,112.000000,110.760002,111.610001,100.095375,4203400
2015-01-27,110.949997,111.250000,109.919998,110.010002,98.660454,4718300
2015-01-28,110.570000,110.879997,108.449997,108.459999,97.270355,6633500
2015-01-29,108.150002,109.580002,106.739998,109.389999,98.104416,4912300
2015-01-30,108.620003,109.389999,106.139999,106.250000,95.288376,5397500
2015-02-02,106.730003,107.339996,105.070000,107.290001,96.221077,4657100
